customer_id,recency,frequency,monetary,log_recency,log_frequency,log_monetary,cluster_name
170,2,0.5882,752.2,1.0986122886681098,0.4626012994789735,6.624330796782997,2
171,1,0.6471,377.25,0.6931471805599453,0.49901616580649305,5.935555352668465,2
172,3,0.9916,557.5999999999999,1.3862943611198906,0.6889383357858906,6.325433653511076,2
173,7,0.9916,766.75,2.0794415416798357,0.6889383357858906,6.643464159320931,1
174,6,1.1849,671.8499999999998,1.9459101490553132,0.7815700609098422,6.51152242218755,2
175,0,0.6723,467.25000000000006,0.0,0.5141999244049401,6.149002341324198,0
176,4,1.1176,797.5,1.6094379124341003,0.7502833719307545,6.682734967655067,2
177,1,0.6303,323.0,0.6931471805599453,0.48876404696347153,5.780743515792329,2
178,3,0.9496,380.7500000000002,1.3862943611198906,0.6676242233288594,5.944765944098743,2
179,4,1.1429,562.0,1.6094379124341003,0.7621600518468994,6.333279628139691,2
180,1,1.0252,684.55,0.6931471805599453,0.705668461113617,6.530221435802664,2
181,0,0.8739,447.4499999999999,0.0,0.6280218205994831,6.105797192564012,0
182,1,0.8739,531.75,0.6931471805599453,0.6280218205994831,6.278052270978726,2
183,1,0.8487,535.0,0.6931471805599453,0.6144826893762628,6.284134161070802,2
184,6,0.7815,591.8499999999998,1.9459101490553132,0.5774557060637537,6.38494141590408,1
185,7,0.6303,300.0999999999998,2.0794415416798357,0.48876404696347153,5.707442435487687,1
186,1,1.2269,750.6500000000001,0.6931471805599453,0.800610483809474,6.622270790073843,2
187,18,0.3613,254.84999999999985,2.9444389791664403,0.30844012553629035,5.5445913352511,1
188,21,0.5378,531.75,3.091042453358316,0.43035282361594335,6.278052270978726,1
189,0,1.2017,933.65,0.0,0.7892297892369897,6.840172127658341,0
190,16,0.7815,451.8,2.833213344056216,0.5774557060637537,6.115450526888973,1
191,6,0.8571,554.4000000000002,1.9459101490553132,0.6190161312168702,6.3196885748727,1
192,9,1.521,958.5000000000005,2.302585092994046,0.9246556482057827,6.866412315447755,2
193,4,0.9832,624.45,1.6094379124341003,0.6847117017388437,6.438471390660751,2
